2025-11-29 12:25:43 | Effect: snow | File: dragonfly_perched_on_leaf_2.jpg
2025-11-29 12:26:49 | Effect: autumn | File: dragonfly_in_flight_3.jpg
2025-11-29 12:26:49 | Effect: motion_blur | File: dragonfly_in_flight_3.jpg
2025-11-29 12:26:49 | Effect: rain | File: dragonfly_closeup_1.jpg
2025-11-29 12:26:49 | Effect: snow | File: dragonfly_closeup_1.jpg
2025-11-29 12:26:49 | Effect: fog | File: dragonfly_closeup_1.jpg
2025-11-29 12:26:49 | Effect: night | File: dragonfly_closeup_1.jpg
2025-11-29 12:26:49 | Effect: sunny | File: dragonfly_closeup_1.jpg
2025-11-29 12:26:49 | Effect: autumn | File: dragonfly_closeup_1.jpg
2025-11-29 12:26:49 | Effect: motion_blur | File: dragonfly_closeup_1.jpg
2025-11-29 12:34:22 | Effect: rain | File: dragonfly_in_flight_3.jpg
2025-11-29 12:34:24 | Effect: snow | File: dragonfly_in_flight_3.jpg
2025-11-29 12:34:25 | Effect: fog | File: dragonfly_in_flight_3.jpg
2025-11-29 12:34:27 | Effect: night | File: dragonfly_in_flight_3.jpg
2025-11-29 12:34:28 | Effect: sunny | File: dragonfly_in_flight_3.jpg
2025-11-29 12:34:29 | Effect: autumn | File: dragonfly_in_flight_3.jpg
2025-11-29 12:34:30 | Effect: motion_blur | File: dragonfly_in_flight_3.jpg
2025-11-29 12:34:40 | Effect: rain+fog | File: dragonfly_in_flight_3.jpg
2025-11-29 12:35:37 | Effect: rain | File: dragonfly_in_flight_3.jpg
2025-11-29 12:35:38 | Effect: night | File: dragonfly_in_flight_3.jpg
2025-11-29 12:35:40 | Effect: sunny | File: dragonfly_in_flight_3.jpg
2025-11-29 12:35:42 | Effect: motion_blur | File: dragonfly_in_flight_3.jpg
2025-11-29 12:35:49 | Effect: rain+sunny | File: dragonfly_in_flight_3.jpg
2025-11-29 12:36:08 | Effect: rain+sunny | File: dragonfly_in_flight_3.jpg
2025-11-29 12:36:15 | Effect: rain | File: dragonfly_in_flight_3.jpg
2025-11-29 12:50:04 | Effect: rain | File: dragonfly_in_flight_3.jpg
2025-11-29 13:41:44 | Effect: rain | File: bugimage.jpeg
2025-11-29 13:41:58 | Effect: rain | File: bugonleaf.jpeg
2025-11-29 13:41:59 | Effect: motion_blur | File: bugonleaf.jpeg
2025-11-29 13:42:02 | Effect: snow | File: bugonleaf.jpeg
2025-11-29 13:42:05 | Effect: fog | File: bugonleaf.jpeg
2025-11-29 13:42:07 | Effect: night | File: bugonleaf.jpeg
2025-11-29 13:42:09 | Effect: sunny | File: bugonleaf.jpeg
2025-11-29 13:42:14 | Effect: rain | File: bugonleaf.jpeg
2025-11-29 13:42:15 | Effect: autumn | File: bugonleaf.jpeg
2025-11-29 13:42:16 | Effect: rain | File: bugonleaf.jpeg
2025-11-29 13:42:19 | Effect: night | File: bugonleaf.jpeg
2025-11-29 13:42:40 | Effect: rain | File: dragonfly_closeup_1.jpg
2025-11-29 13:42:42 | Effect: night | File: dragonfly_closeup_1.jpg
2025-11-29 13:42:44 | Effect: sunny | File: dragonfly_closeup_1.jpg
2025-11-29 13:42:49 | Effect: autumn | File: dragonfly_closeup_1.jpg
2025-11-29 13:42:50 | Effect: motion_blur | File: dragonfly_closeup_1.jpg
2025-11-29 14:01:55 | Effect: rain | File: dragonfly_closeup_1.jpg
2025-11-29 14:02:42 | Effect: rain+night | File: dragonfly_closeup_1.jpg
2025-11-29 14:03:08 | Effect: rain | File: bugonleaf.jpeg
2025-11-29 14:03:15 | Effect: night | File: bugonleaf.jpeg
2025-11-29 14:03:26 | Effect: rain+night | File: bugonleaf.jpeg
2025-12-03 20:20:24 | Effect: snow | File: bugonleaf.jpeg
2025-12-03 20:20:26 | Effect: fog | File: bugonleaf.jpeg
2025-12-03 20:20:31 | Effect: rain | File: bugonleaf.jpeg
2025-12-03 22:42:50 | Effect: snow | File: WhatsApp Image 2025-12-03 at 22.41.44.jpeg
2025-12-03 22:42:58 | Effect: snow | File: WhatsApp Image 2025-12-03 at 22.41.44.jpeg
2025-12-03 22:43:03 | Effect: fog | File: WhatsApp Image 2025-12-03 at 22.41.44.jpeg
2025-12-03 22:43:04 | Effect: night | File: WhatsApp Image 2025-12-03 at 22.41.44.jpeg
2025-12-03 22:43:26 | Effect: fog | File: WhatsApp Image 2025-12-03 at 22.41.44.jpeg
2025-12-03 22:43:30 | Effect: night | File: WhatsApp Image 2025-12-03 at 22.41.44.jpeg
2025-12-03 22:43:31 | Effect: sunny | File: WhatsApp Image 2025-12-03 at 22.41.44.jpeg
2025-12-03 22:43:32 | Effect: motion_blur | File: WhatsApp Image 2025-12-03 at 22.41.44.jpeg
2025-12-03 22:43:33 | Effect: autumn | File: WhatsApp Image 2025-12-03 at 22.41.44.jpeg
2025-12-03 22:43:37 | Effect: night | File: WhatsApp Image 2025-12-03 at 22.41.44.jpeg
2025-12-03 22:43:39 | Effect: fog | File: WhatsApp Image 2025-12-03 at 22.41.44.jpeg
2025-12-03 22:44:28 | Effect: snow | File: WhatsApp Image 2025-12-03 at 22.44.09.jpeg
2025-12-03 22:44:36 | Effect: snow | File: WhatsApp Image 2025-12-03 at 22.44.09.jpeg
2025-12-03 22:44:39 | Effect: fog | File: WhatsApp Image 2025-12-03 at 22.44.09.jpeg
2025-12-03 22:44:44 | Effect: fog | File: WhatsApp Image 2025-12-03 at 22.44.09.jpeg
2025-12-03 22:44:47 | Effect: fog | File: WhatsApp Image 2025-12-03 at 22.44.09.jpeg
2025-12-03 22:45:06 | Effect: night | File: WhatsApp Image 2025-12-03 at 22.44.09.jpeg
2025-12-03 22:45:11 | Effect: night | File: WhatsApp Image 2025-12-03 at 22.44.09.jpeg
2025-12-03 22:45:34 | Effect: night | File: WhatsApp Image 2025-12-03 at 22.41.44.jpeg
2025-12-03 23:30:46 | Effect: snow | File: WhatsApp Image 2025-12-03 at 23.27.47.jpeg
2025-12-03 23:30:48 | Effect: fog | File: WhatsApp Image 2025-12-03 at 23.27.47.jpeg
2025-12-03 23:30:50 | Effect: night | File: WhatsApp Image 2025-12-03 at 23.27.47.jpeg
2025-12-03 23:31:29 | Effect: fog | File: WhatsApp Image 2025-12-03 at 23.20.02.jpeg
2025-12-03 23:36:38 | Effect: motion_blur | File: WhatsApp Image 2025-12-03 at 22.49.43.jpeg
2025-12-03 23:36:39 | Effect: motion_blur | File: WhatsApp Image 2025-12-03 at 22.49.43.jpeg
2025-12-04 11:20:39 | Effect: rain | File: dragonfly_7.jpg
2025-12-04 11:20:43 | Effect: rain | File: dragonfly_7.jpg
2025-12-04 11:21:52 | Effect: fog | File: skimmer_3.jpg
2025-12-04 11:21:55 | Effect: night | File: skimmer_3.jpg
2025-12-04 11:21:57 | Effect: sunny | File: skimmer_3.jpg
2025-12-04 11:21:59 | Effect: motion_blur | File: skimmer_3.jpg
2025-12-04 11:22:00 | Effect: rain | File: skimmer_3.jpg
2025-12-04 11:22:01 | Effect: snow | File: skimmer_3.jpg
2025-12-04 11:22:04 | Effect: fog | File: skimmer_3.jpg
2025-12-04 11:40:20 | Effect: sunny | File: venkatant.jpeg
2025-12-04 11:41:00 | Effect: rain | File: antrain.jpeg
2025-12-04 11:41:55 | Effect: fog | File: antfog.jpeg
2025-12-04 11:42:02 | Effect: fog | File: antfog.jpeg
2025-12-04 11:42:44 | Effect: motion_blur | File: ant.jpeg
2025-12-04 14:22:44 | Effect: rain | File: darner_4.jpg
2025-12-04 14:22:46 | Effect: night | File: darner_4.jpg
2025-12-04 14:22:48 | Effect: sunny | File: darner_4.jpg
2025-12-04 17:27:11 | Effect: rain | File: dragonfly_7.jpg
2025-12-04 17:27:16 | Effect: rain | File: dragonfly_7.jpg
